company_id,name,industry,address,location_lat,location_lon,state,segment,sustainability_score
1,Shakti Infra 1,mining,"240, Kolkata Industrial Area, West Bengal",22.514926,88.300299,West Bengal,quarry,66.97
2,Trinity Projects 2,construction,"42, Kolkata Industrial Area, West Bengal",22.507591,88.321126,West Bengal,infrastructure,68.62
3,Apex Logistics 3,construction,"237, Jaipur Industrial Area, Rajasthan",26.904273,75.751811,Rajasthan,quarry,76.48
4,Vertex Quarry 4,construction,"232, Bengaluru Industrial Area, Karnataka",13.044754,77.568455,Karnataka,roadworks,85.23
5,Zenith Projects 5,construction,"630, Bengaluru Industrial Area, Karnataka",12.933923,77.521552,Karnataka,housing,67.66
6,Trinity Projects 6,mining,"92, Ahmedabad Industrial Area, Gujarat",23.030827,72.624105,Gujarat,infrastructure,59.66
7,Orbit Mining 7,mining,"689, Jaipur Industrial Area, Rajasthan",26.868864,75.753602,Rajasthan,quarry,77.79
8,Omni Projects 8,construction,"662, Bengaluru Industrial Area, Karnataka",13.025058,77.540625,Karnataka,quarry,77.67
9,Omni Works 9,mining,"635, Chennai Industrial Area, Tamil Nadu",13.104297,80.276162,Tamil Nadu,quarry,57.31
10,Vertex Holdings 10,construction,"713, Pune Industrial Area, Maharashtra",18.492285,73.89963,Maharashtra,roadworks,75.43
11,Omni Infra 11,mining,"286, Bengaluru Industrial Area, Karnataka",12.90219,77.660702,Karnataka,infrastructure,57.37
12,Pioneer Constructions 12,construction,"417, Jaipur Industrial Area, Rajasthan",26.973949,75.810156,Rajasthan,quarry,65.34
13,Nexus Build 13,construction,"776, Pune Industrial Area, Maharashtra",18.533934,73.920352,Maharashtra,housing,72.42
14,Orbit Mining 14,mining,"533, Ahmedabad Industrial Area, Gujarat",23.021463,72.612325,Gujarat,quarry,42.87
15,Vertex Build 15,mining,"622, Bengaluru Industrial Area, Karnataka",12.901764,77.575659,Karnataka,infrastructure,44.75
16,Trinity Works 16,mining,"708, Ahmedabad Industrial Area, Gujarat",23.057815,72.600474,Gujarat,quarry,56.38
17,Nexus Constructions 17,construction,"173, Jaipur Industrial Area, Rajasthan",26.904996,75.859911,Rajasthan,quarry,59.87
18,Nexus Logistics 18,mining,"903, Kolkata Industrial Area, West Bengal",22.592648,88.418567,West Bengal,quarry,65.14
19,Atlas Mining 19,construction,"564, Jaipur Industrial Area, Rajasthan",26.98496,75.854889,Rajasthan,roadworks,60.92
20,Atlas Constructions 20,construction,"963, Bengaluru Industrial Area, Karnataka",12.949677,77.672251,Karnataka,infrastructure,55.88
21,Omni Infra 21,construction,"99, Chennai Industrial Area, Tamil Nadu",13.119805,80.321264,Tamil Nadu,infrastructure,84.66
22,Vertex Build 22,mining,"283, Jaipur Industrial Area, Rajasthan",26.916828,75.804355,Rajasthan,quarry,59.74
23,Trinity Mining 23,mining,"699, Pune Industrial Area, Maharashtra",18.54438,73.846796,Maharashtra,infrastructure,62.68
24,Prime Projects 24,construction,"358, Jaipur Industrial Area, Rajasthan",26.835765,75.795927,Rajasthan,infrastructure,55.75
